,source_name,event_date,location_accuracy,landslide_category,landslide_trigger,landslide_size,fatality_count,country_name,country_code,longitude,latitude,continent
0,AGU,2008-08-01,unknown,landslide,rain,3,11.0,China,CN,107.45,32.5625,AS
1,Oregonian,2009-01-02,5km,mudslide,downpour,1,0.0,United States,US,-122.663,45.42,NA
2,CBS News,2007-01-19,10km,landslide,downpour,3,10.0,Peru,PE,-75.3587,-11.1295,SA
3,Reuters,2009-07-31,unknown,landslide,monsoon,2,1.0,Nepal,NP,81.708,28.8378,AS
4,The Freeman,2010-10-16,5km,landslide,tropical_cyclone,2,0.0,Philippines,PH,123.8978,10.3336,AS
5,BusinessWorld Online,2012-02-16,5km,landslide,downpour,2,0.0,Philippines,PH,124.9668,10.7004,AS
6,The Spokesman-Review,2012-03-30,5km,mudslide,downpour,1,0.0,United States,US,-117.2665,48.2797,NA
7,Crónica Diaria,2007-09-02,10km,complex,tropical_cyclone,2,3.0,Mexico,MX,-107.62200000000001,24.9531,NA
9,UPI,2008-11-01,10km,complex,downpour,2,2.0,China,CN,100.0845,23.89,AS
10,BBC News,2008-11-01,25km,complex,downpour,2,4.0,China,CN,102.695,25.0967,AS
12,Salem-News.com,2009-01-01,10km,mudslide,rain,1,0.0,United States,US,-122.0704,45.376999999999995,NA
14,ABS-CBN News,2009-01-02,5km,landslide,downpour,2,0.0,Philippines,PH,124.0419,12.5655,AS
15,OregonLive The Oregonian,2009-01-03,10km,mudslide,rain,1,0.0,United States,US,-122.67,45.521,NA
16,GoUpstate.com,2009-01-07,1km,landslide,rain,1,0.0,United States,US,-83.071,35.507,NA
17,OregonLive The Oregonian,2009-01-07,5km,landslide,rain,1,0.0,United States,US,-122.89299999999999,46.11,NA
18,Ballard News Tribune,2009-01-07,5km,mudslide,rain,1,0.0,United States,US,-122.334,47.431999999999995,NA
19,Corvallis Gazette-Times,2009-01-07,5km,landslide,downpour,2,0.0,United States,US,-121.75,48.538000000000004,NA
20,Corvallis Gazette-Times,2009-01-07,1km,mudslide,rain,1,0.0,United States,US,-122.2,48.72,NA
22,Seattle Pi,2009-01-08,5km,complex,rain,1,0.0,United States,US,-122.273,47.538000000000004,NA
23,The Bellingham Herald,2009-01-08,5km,mudslide,rain,1,0.0,United States,US,-122.037,48.928999999999995,NA
24,Reuters,2009-01-13,5km,landslide,downpour,2,6.0,Algeria,DZ,5.765,36.7946,AF
25,Bothell-Kenmore Reporter,2009-01-13,1km,mudslide,rain,1,0.0,United States,US,-122.2072,47.7573,NA
26,The Star Online,2009-01-16,10km,landslide,rain,2,0.0,Malaysia,MY,110.3442,1.531,AS
27,NBC News,2009-01-19,25km,landslide,rain,2,4.0,Indonesia,ID,116.662,-8.5073,AS
28,Reuters,2009-08-13,5km,landslide,downpour,2,7.0,Sierra Leone,SL,-13.2287,8.4841,AF
29,Hindustan Times,2009-01-22,5km,landslide,downpour,2,2.0,Brunei,BN,115.0668,5.031000000000001,AS
30,China.org.cn,2009-01-22,50km,landslide,downpour,2,2.0,Mexico,MX,-99.1276,19.4271,NA
31,ABC.net.au,2009-01-26,5km,mudslide,downpour,2,2.0,Italy,IT,14.252,40.8403,EU
32,One India,2009-07-22,10km,landslide,downpour,2,0.0,India,IN,88.2788,26.8826,AS
33,ABC Channel 7 Eyewitness News,2009-02-06,5km,mudslide,rain,1,0.0,United States,US,-118.05,34.162,NA
34,One India,2009-07-22,10km,landslide,downpour,2,0.0,India,IN,88.3143,26.8572,AS
35,GMA News Online,2009-02-07,5km,landslide,downpour,2,2.0,Philippines,PH,123.226,9.29,AS
36,GMA News Online,2009-09-09,10km,landslide,downpour,2,2.0,Philippines,PH,121.56,14.545,AS
37,Drilling Today,2009-04-20,1km,mudslide,downpour,1,0.0,United States,US,-79.4305,37.9137,NA
38,NEWS.com.au,2009-08-23,5km,complex,downpour,1,0.0,Australia,AU,145.9063,-41.0528,OC
39,SAARC Disaster Management Centre,2009-07-02,50km,landslide,monsoon,2,3.0,Nepal,NP,83.9806,28.2039,AS
40,SAARC Disaster Management Centre,2009-07-02,25km,landslide,monsoon,2,2.0,Nepal,NP,84.2279,27.9447,AS
41,Hindustan Times,2009-07-21,5km,landslide,downpour,2,6.0,Japan,JP,131.5729,34.0496,AS
43,PhilStar Global,2009-07-24,10km,landslide,downpour,2,2.0,Japan,JP,132.4592,34.3852,AS
44,ChinaDaily,2009-07-25,5km,landslide,downpour,2,6.0,China,CN,103.5868,31.483,AS
45,Telegraph India,2009-07-01,1km,landslide,downpour,2,0.0,India,IN,88.527,27.478,AS
46,NBC News,2009-07-27,25km,landslide,monsoon,3,13.0,Nepal,NP,85.71,28.0,AS
47,Reuters,2009-07-31,50km,landslide,monsoon,2,5.0,Nepal,NP,83.8791,28.1046,AS
51,KitsapSun,2009-11-18,1km,mudslide,downpour,1,0.0,United States,US,-122.5562,47.2846,NA
52,The Jakarta Post,2009-11-21,25km,landslide,downpour,2,0.0,Indonesia,ID,109.9187,-7.571000000000001,AS
